index,reward
351,-13.244759938611933
352,-11.960157971821243
353,-11.511792691136575
354,-12.39681259640417
355,-10.321231721818702
356,-11.839770386331107
357,-11.87722592656003
358,-11.834180914302582
359,-12.304974729335996
360,-13.535406825015208
361,-13.289717805317025
362,-12.671606843760413
363,-13.510312983569854
364,-9.538486153895901
365,-11.384324204371312
366,-12.675581352103247
367,-11.51954220871734
368,-14.81462916449927
369,-12.516938556131485
370,-11.893625554204416
371,-14.054484377140902
372,-13.499605634744002
373,-9.917054178047062
374,-11.878023942302578
375,-11.768496565197047
376,-11.53398357445993
377,-10.622056370994857
378,-13.018244905439584
379,-12.055128693133502
380,-12.746314969081373
381,-14.241753982472954
382,-12.263331324350304
383,-14.126931053626402
384,-11.306659484160674
385,-15.375842474566968
386,-12.445261996876138
387,-9.785062609924362
388,-14.357236916849525
389,-13.101506175975477
390,-10.661123132790102
391,-13.181786495776588
392,-11.838173954833099
393,-13.566548266665892
394,-13.142979106867871
395,-8.112407962047497
396,-12.739047731726007
397,-14.17837075679548
398,-13.530973580215182
399,-11.726598108496912
400,-10.699100904748251
401,-12.007899447923522
402,-10.472032702642704
403,-13.229988676579275
404,-13.483697541590098
405,-14.303250741771834
406,-13.402893677505862
407,-13.29174562671639
408,-12.312706213597968
409,-10.97457331506491
410,-13.915141879380327
411,-12.564308959810765
412,-9.35538156005039
413,-9.605106958103548
414,-14.76112121117795
415,-11.36729765242817
416,-13.215977061891211
417,-13.512801562283851
418,-10.888152179568236
419,-11.0149902642449
420,-12.68172444328367
421,-12.582408680290273
422,-14.300855407296849
423,-10.681983042426122
424,-9.771415530181288
425,-11.67996114849435
426,-11.556283470912772
427,-12.87482596074747
428,-12.882636740063436
429,-11.919066365371332
430,-13.17105854961332
431,-11.049636211675672
432,-14.260705590917697
433,-11.600373308755485
434,-12.98237967148895
435,-9.934131103089642
436,-13.189104794163452
437,-11.444080504941272
438,-12.25366665444612
439,-10.749943928819883
440,-12.800335029675464
441,-14.103605311125031
442,-13.973613593152933
443,-10.664740833009844
444,-11.343318390201988
445,-12.591469179539635
446,-11.399521988908106
447,-12.71442927700136
448,-12.662110321246233
449,-11.857073840839838
450,-13.453333143314682
451,-11.618102896318721
452,-11.620146804911007
453,-10.08714065299224
454,-12.512847458348453
455,-10.829737341254743
456,-11.552866970559801
457,-13.377752555374471
458,-13.644843401582774
459,-10.055281859048298
460,-15.03155896516964
461,-11.320025332697554
462,-15.43036636970849
463,-13.147803270038764
464,-11.946235052301098
465,-12.435070000903066
466,-11.980945362128498
467,-13.674583903898595
468,-12.871325172751078
469,-14.515444876180785
470,-14.48316012183564
471,-14.969807427878042
472,-11.39135937734864
473,-12.602430963462442
474,-11.999658955063873
475,-12.073466088581904
476,-9.204054139147551
